Datum,Von,Bis,Filiale,Anzahl_Bon,Umsatz,Umsatz_Zeit,Anzahl_Kunden_In,Anzahl_Kunden_Aus,Anzahl_Kunden_Zeit_Von,Anzahl_Kunden_Zeit_Bis,Anzahl_Mitarbeiter,Hartware,Textil,RangeIndoor,Filialleiter,Outlet,Backoffice,Fitting,Reinigungsdienst
2022-04-01,08:12,08:13,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:13,08:14,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:14,08:15,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:15,08:16,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:16,08:17,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:17,08:18,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:18,08:19,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:19,08:20,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:20,08:21,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:21,08:22,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:22,08:23,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:23,08:24,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:24,08:25,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:25,08:26,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:26,08:27,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:27,08:28,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:28,08:29,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:29,08:30,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
2022-04-01,08:30,08:31,666,0,0.00,00:00,0,0,08:00,09:00,1,0,0,0,0,0,1,0,0
